# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    6.99e+01  6.83e+01    6.14e+00  6.15e+00    2.21e+00  2.16e+00    1.0e-03
   1000    4.11e+00  3.58e+00    1.93e-02  2.03e-02    1.68e-01  1.46e-01    6.0e-04
   2000    3.46e+00  2.34e+00    7.02e-02  6.99e-02    1.82e-01  1.23e-01    3.6e-04
   3000    3.64e+00  3.39e+00    5.46e-02  5.33e-02    2.48e-01  2.31e-01    2.1e-04
   4000    2.04e+00  1.27e+00    2.47e-02  2.46e-02    1.79e-01  1.11e-01    1.3e-04
   5000    1.57e+00  9.74e-01    1.28e-03  1.45e-03    1.77e-01  1.10e-01    7.7e-05
   6000    1.22e+00  8.75e-01    1.52e-03  1.53e-03    1.77e-01  1.28e-01    4.6e-05
   7000    9.56e-01  8.26e-01    1.58e-02  1.61e-02    1.79e-01  1.54e-01    2.8e-05
   8000    7.43e-01  4.53e-01    3.92e-03  3.90e-03    1.78e-01  1.08e-01    1.7e-05
   9000    5.89e-01  4.49e-01    3.06e-03  3.49e-03    1.79e-01  1.36e-01    9.9e-06
  10000    4.69e-01  3.57e-01    1.93e-03  2.35e-03    1.78e-01  1.36e-01    5.9e-06
  11000    3.80e-01  2.60e-01    1.41e-03  1.31e-03    1.78e-01  1.22e-01    3.5e-06
  12000    3.15e-01  2.13e-01    1.53e-03  1.62e-03    1.78e-01  1.21e-01    2.1e-06
  13000    2.68e-01  2.35e-01    9.79e-04  5.29e-04    1.78e-01  1.56e-01    1.3e-06
  14000    2.36e-01  1.82e-01    1.22e-03  1.33e-03    1.78e-01  1.37e-01    7.6e-07
  15000    2.15e-01  1.80e-01    8.28e-04  3.83e-04    1.78e-01  1.49e-01    4.6e-07
  16000    2.01e-01  1.68e-01    8.11e-04  4.81e-04    1.78e-01  1.49e-01    2.7e-07
  17000    1.92e-01  1.85e-01    1.12e-03  7.31e-04    1.78e-01  1.71e-01    1.6e-07
  18000    1.87e-01  1.45e-01    8.58e-04  8.06e-04    1.78e-01  1.38e-01    9.8e-08
  19000    1.83e-01  1.24e-01    1.02e-03  1.16e-03    1.78e-01  1.20e-01    5.9e-08
  20000    1.81e-01  1.84e-01    9.99e-04  5.90e-03    1.78e-01  1.80e-01    3.5e-08
