2019-06-24 13:10:29.227003: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX512F
2019-06-24 13:10:30.317469: E tensorflow/stream_executor/cuda/cuda_driver.cc:406] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-06-24 13:10:30.317531: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:158] retrieving CUDA diagnostic information for host: SR760-GPU-7
2019-06-24 13:10:30.317542: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:165] hostname: SR760-GPU-7
2019-06-24 13:10:30.317604: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] libcuda reported version is: 410.48.0
2019-06-24 13:10:30.317668: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:193] kernel reported version is: 410.48.0
2019-06-24 13:10:30.317676: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:300] kernel version seems to match DSO: 410.48.0
fo of lammps module:
  use deepmd-kit at:  /sharedext4/local/deepmd-kit-0.12.4
  source:             v0.12.4-1-ge3cd911-dirty
  source branch:      master
  source commit:      e3cd911
  source commit at:   2019-02-07 10:22:13 +0800
  build float prec:   double
  build with tf inc:  /sharedext4/local/tensorflow/r1.8.gpu.cc/include
  build with tf lib:  /sharedext4/local/tensorflow/r1.8.gpu.cc/lib/libtensorflow_cc.so;/sharedext4/local/tensorflow/r1.8.gpu.cc/lib/libtensorflow_framework.so
  >>> Info of model(s):
  using   4 model(s): ../graph.002.pb ../graph.003.pb ../graph.000.pb ../graph.001.pb 
  rcut in model:      5
  ntypes in model:    2
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair deepmd, perpetual
      attributes: , newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.002
Per MPI rank memory allocation (min/avg/max) = 3.949 | 3.949 | 3.949 Mbytes
Step Temp PotEng KinEng TotEng Press Volume Lx Ly Lz Xy Xz Yz 
       0          100   -23.978821  0.051704058   -23.927117    1110.9559    965.71535    9.7171192     10.06214     9.876914   -0.1036552   -0.2495802   -0.2287703 
      10    73.436927   -23.962843  0.037969872   -23.924873    1016.3687    966.45273    9.7195918      10.0647    9.8794272  -0.10368158  -0.24964371  -0.22882851 
      20    88.020278   -23.969127  0.045510055   -23.923617    748.39681    967.04086     9.721563    10.066741    9.8814308   -0.1037026  -0.24969434  -0.22887492 
      30    75.738264   -23.960144  0.039159756   -23.920984    326.06713    967.47878    9.7230302     10.06826    9.8829222  -0.10371825  -0.24973202  -0.22890946 
      40    88.601245   -23.964145  0.045810439   -23.918334   -110.06397    967.70187    9.7237775    10.069034    9.8836818  -0.10372623  -0.24975122  -0.22892706 
      50    91.739537   -23.961522  0.047433063   -23.914089   -568.86842    967.69864    9.7237667    10.069023    9.8836708  -0.10372611  -0.24975094   -0.2289268 
      60     99.68086   -23.960484   0.05153905   -23.908944   -968.01486    967.42917     9.722864    10.068088    9.8827533  -0.10371648  -0.24972775  -0.22890555 
      70    120.47174   -23.965376  0.062288781   -23.903087   -1122.2184    966.84789    9.7209163    10.066071    9.8807735   -0.1036957  -0.24967773  -0.22885969 
      80    114.26332    -23.95022  0.059078775   -23.891141   -1141.8219    965.99318    9.7180509    10.063104    9.8778611  -0.10366514  -0.24960413  -0.22879224 
      90    136.55288   -23.943323  0.070603379    -23.87272   -984.30017    964.87886    9.7143128    10.059233    9.8740614  -0.10362526  -0.24950812  -0.22870423 
     100    122.74206   -23.913187  0.063462625   -23.849724   -620.27468    963.49568    9.7096686    10.054424    9.8693409  -0.10357572  -0.24938884  -0.22859489 
     110    198.85081   -23.946363   0.10281394   -23.843549   -375.32912    961.99227    9.7046158    10.049192     9.864205  -0.10352182  -0.24925905  -0.22847593 
     120    214.32268   -23.954184   0.11081352    -23.84337    73.329605    960.31814    9.6989829    10.043359    9.8584795  -0.10346174  -0.24911438  -0.22834332 
