2019-06-24 13:55:33.615420: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX512F
2019-06-24 13:55:35.637649: E tensorflow/stream_executor/cuda/cuda_driver.cc:406] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-06-24 13:55:35.637731: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:158] retrieving CUDA diagnostic information for host: SR760-GPU-7
2019-06-24 13:55:35.637748: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:165] hostname: SR760-GPU-7
2019-06-24 13:55:35.637833: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] libcuda reported version is: 410.48.0
2019-06-24 13:55:35.637920: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:193] kernel reported version is: 410.48.0
2019-06-24 13:55:35.637933: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:300] kernel version seems to match DSO: 410.48.0
 of lammps module:
  use deepmd-kit at:  /sharedext4/local/deepmd-kit-0.12.4
  source:             v0.12.4-1-ge3cd911-dirty
  source branch:      master
  source commit:      e3cd911
  source commit at:   2019-02-07 10:22:13 +0800
  build float prec:   double
  build with tf inc:  /sharedext4/local/tensorflow/r1.8.gpu.cc/include
  build with tf lib:  /sharedext4/local/tensorflow/r1.8.gpu.cc/lib/libtensorflow_cc.so;/sharedext4/local/tensorflow/r1.8.gpu.cc/lib/libtensorflow_framework.so
  >>> Info of model(s):
  using   4 model(s): ../graph.002.pb ../graph.003.pb ../graph.000.pb ../graph.001.pb 
  rcut in model:      5
  ntypes in model:    2
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair deepmd, perpetual
      attributes: , newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.002
Per MPI rank memory allocation (min/avg/max) = 3.949 | 3.949 | 3.949 Mbytes
Step Temp PotEng KinEng TotEng Press Volume Lx Ly Lz Xy Xz Yz 
       0          100   -23.999353  0.051704058   -23.947649   -690.62965    1029.8543    10.139055    10.031911     10.12499     0.093422    0.2396449    0.0019935 
      10    71.461193   -23.980697  0.036948337   -23.943749   -971.99724    1034.5236    10.154355    10.047049    10.140269  0.093562976   0.24000653 0.0019965082 
      20    72.480109   -23.977811  0.037475157   -23.940335   -1070.8324    1039.0999    10.169306    10.061842      10.1552  0.093700736   0.24035991 0.0019994479 
      30    62.459539   -23.969587  0.032294116   -23.937293   -953.24305    1043.5857    10.183919      10.0763    10.169792  0.093835376   0.24070529 0.0020023209 
      40    76.020643   -23.973625  0.039305757    -23.93432   -619.89281     1047.999    10.198255    10.090485    10.184108  0.093967468   0.24104413 0.0020051395 
      50    74.952232    -23.96724  0.038753346   -23.928487   -190.62993    1052.4108    10.212545    10.104624    10.198379  0.094099143    0.2413819 0.0020079493 
      60    91.869417    -23.97047  0.047500217    -23.92297    228.06155    1056.9065    10.227067    10.118992     10.21288  0.094232945   0.24172512 0.0020108045 
      70    111.23638   -23.972463  0.057513723   -23.914949    624.73548    1061.5855    10.242136    10.133903    10.227928  0.094371796    0.2420813 0.0020137674 
      80    140.37524   -23.982709  0.072579695   -23.910129     784.4526    1066.6221    10.258308    10.149904    10.244078  0.094520808   0.24246355 0.0020169471 
      90    187.15359   -23.997464  0.096766001   -23.900698    590.10465    1072.1563     10.27602    10.167428    10.261765  0.094684001   0.24288217 0.0020204294 
     100    197.75439    -23.98101   0.10224704   -23.878763    368.90171    1078.1752    10.295213    10.186418    10.280932  0.094860849   0.24333582 0.0020242031 
     110    196.82256   -23.961374   0.10176525   -23.859609    128.13177    1084.7754    10.316178    10.207162    10.301868  0.095054026   0.24383135 0.0020283252 
     120    147.82643   -23.921616  0.076432264   -23.845184   -70.561382    1092.0448    10.339171    10.229912    10.324829  0.095265881    0.2443748 0.0020328459 
     130    170.68099    -23.93688     0.088249   -23.848631   -53.270556    1099.9225    10.363973    10.254451    10.349596  0.095494405   0.24496101 0.0020377223 
     140    182.99233   -23.959713  0.094614458   -23.865098    143.60823    1108.4369    10.390646    10.280843    10.376232  0.095740176   0.24559145 0.0020429668 
     150    200.90303   -23.998246   0.10387502   -23.894371    441.50342     1117.668    10.419411    10.309304    10.404957  0.096005217   0.24627133 0.0020486224 
     160     141.2128   -23.991998  0.073012749   -23.918985    583.61258    1127.6812    10.450434    10.339999    10.435938  0.096291069    0.2470046 0.0020547221 
     170    113.48274    -23.99294  0.058675183   -23.934265    559.40621    1138.3757    10.483367    10.372584    10.468824   0.09659451   0.24778298 0.0020611971 
     180    73.232844   -23.978426  0.037864352   -23.940562     444.2861    1149.6011    10.517712    10.406567    10.503122  0.096910974   0.24859477   0.00206795 
     190    65.481376   -23.978542  0.033856529   -23.944686    150.31293    1161.3783    10.553507    10.441983    10.538867  0.097240787    0.2494408 0.0020749878 
     200    53.864226   -23.974602  0.027849991   -23.946752   -187.81844    1173.6844    10.590651    10.478735     10.57596  0.097583039   0.25031874  0.002082291 
     210    52.233458   -23.974591  0.027006817   -23.947584   -458.64987       1186.5    10.629059    10.516736    10.614314  0.097936928   0.25122653 0.0020898425 
     220     50.20271   -23.974303  0.025956838   -23.948347   -672.58678    1199.8421    10.668751    10.556009    10.653952  0.098302659    0.2521647 0.0020976467 
