# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    5.50e+01  5.21e+01    6.32e+00  6.33e+00    1.74e+00  1.65e+00    1.0e-03
   1000    4.35e+00  3.95e+00    6.66e-03  6.86e-03    1.78e-01  1.62e-01    6.0e-04
   2000    3.48e+00  2.24e+00    3.90e-02  3.89e-02    1.84e-01  1.18e-01    3.6e-04
   3000    2.59e+00  1.69e+00    4.38e-02  4.39e-02    1.76e-01  1.15e-01    2.1e-04
   4000    2.02e+00  1.45e+00    2.41e-02  2.46e-02    1.77e-01  1.27e-01    1.3e-04
   5000    1.55e+00  1.20e+00    3.58e-02  3.55e-02    1.76e-01  1.35e-01    7.7e-05
   6000    1.21e+00  1.00e+00    1.88e-02  1.91e-02    1.76e-01  1.46e-01    4.6e-05
   7000    9.36e-01  5.45e-01    2.29e-03  2.29e-03    1.75e-01  1.02e-01    2.8e-05
   8000    7.28e-01  5.47e-01    3.34e-03  3.53e-03    1.74e-01  1.31e-01    1.7e-05
   9000    5.77e-01  5.49e-01    9.00e-04  6.86e-04    1.75e-01  1.66e-01    9.9e-06
  10000    4.61e-01  2.59e-01    2.19e-03  2.15e-03    1.75e-01  9.83e-02    5.9e-06
  11000    3.73e-01  3.22e-01    1.31e-03  1.52e-03    1.75e-01  1.51e-01    3.5e-06
  12000    3.09e-01  1.93e-01    1.03e-03  1.26e-03    1.75e-01  1.09e-01    2.1e-06
  13000    2.63e-01  1.76e-01    1.13e-03  7.56e-04    1.75e-01  1.17e-01    1.3e-06
  14000    2.32e-01  1.85e-01    8.93e-04  7.50e-04    1.75e-01  1.39e-01    7.6e-07
  15000    2.11e-01  1.67e-01    8.76e-04  7.45e-04    1.75e-01  1.38e-01    4.6e-07
  16000    1.82e-01  1.81e-01    4.36e-03  4.67e-03    1.61e-01  1.60e-01    2.7e-07
  17000    1.88e-01  1.41e-01    9.55e-04  9.25e-04    1.74e-01  1.30e-01    1.6e-07
  18000    1.83e-01  1.37e-01    8.75e-04  9.48e-04    1.74e-01  1.31e-01    9.8e-08
  19000    1.80e-01  1.26e-01    8.95e-04  6.66e-04    1.74e-01  1.23e-01    5.9e-08
  20000    1.78e-01  1.52e-01    8.88e-04  6.59e-04    1.74e-01  1.49e-01    3.5e-08
