# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    1.49e+02  1.47e+02    6.33e+00  6.35e+00    4.71e+00  4.65e+00    1.0e-03
   1000    4.46e+00  4.17e+00    9.30e-03  9.30e-03    1.82e-01  1.70e-01    6.0e-04
   2000    3.40e+00  3.15e+00    2.50e-02  2.49e-02    1.79e-01  1.66e-01    3.6e-04
   3000    2.66e+00  2.11e+00    5.78e-02  5.75e-02    1.81e-01  1.43e-01    2.1e-04
   4000    2.82e+00  2.73e+00    6.23e-03  7.67e-03    2.48e-01  2.40e-01    1.3e-04
   5000    1.60e+00  1.30e+00    3.85e-02  3.82e-02    1.81e-01  1.47e-01    7.7e-05
   6000    1.24e+00  1.09e+00    8.16e-04  9.29e-04    1.81e-01  1.60e-01    4.6e-05
   7000    8.09e-01  7.86e-01    7.43e-03  8.07e-03    1.51e-01  1.47e-01    2.8e-05
   8000    7.51e-01  5.98e-01    6.51e-03  6.62e-03    1.79e-01  1.43e-01    1.7e-05
   9000    5.96e-01  4.02e-01    3.05e-03  2.63e-03    1.81e-01  1.22e-01    9.9e-06
  10000    4.75e-01  3.76e-01    1.76e-03  1.74e-03    1.81e-01  1.43e-01    5.9e-06
  11000    3.85e-01  3.39e-01    1.85e-03  2.14e-03    1.81e-01  1.59e-01    3.5e-06
  12000    3.17e-01  1.92e-01    1.62e-03  1.56e-03    1.79e-01  1.09e-01    2.1e-06
  13000    2.71e-01  2.15e-01    8.03e-04  1.04e-03    1.80e-01  1.43e-01    1.3e-06
  14000    2.38e-01  1.74e-01    1.23e-03  1.10e-03    1.79e-01  1.31e-01    7.6e-07
  15000    2.16e-01  1.72e-01    1.04e-03  1.05e-03    1.79e-01  1.43e-01    4.6e-07
  16000    2.02e-01  1.47e-01    8.19e-04  2.21e-03    1.79e-01  1.30e-01    2.7e-07
  17000    1.94e-01  1.52e-01    9.56e-04  9.17e-04    1.80e-01  1.41e-01    1.6e-07
  18000    1.55e-01  1.50e-01    2.65e-03  3.87e-03    1.48e-01  1.43e-01    9.8e-08
  19000    1.84e-01  1.32e-01    9.12e-04  1.04e-03    1.79e-01  1.29e-01    5.9e-08
  20000    1.82e-01  1.43e-01    1.30e-03  1.29e-03    1.79e-01  1.41e-01    3.5e-08
