2019-06-24 13:10:38.494671: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX512F
2019-06-24 13:10:39.205798: E tensorflow/stream_executor/cuda/cuda_driver.cc:406] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-06-24 13:10:39.205915: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:158] retrieving CUDA diagnostic information for host: SR760-GPU-7
2019-06-24 13:10:39.205941: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:165] hostname: SR760-GPU-7
2019-06-24 13:10:39.206050: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] libcuda reported version is: 410.48.0
2019-06-24 13:10:39.206163: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:193] kernel reported version is: 410.48.0
2019-06-24 13:10:39.206183: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:300] kernel version seems to match DSO: 410.48.0
> Info of lammps module:
  use deepmd-kit at:  /sharedext4/local/deepmd-kit-0.12.4
  source:             v0.12.4-1-ge3cd911-dirty
  source branch:      master
  source commit:      e3cd911
  source commit at:   2019-02-07 10:22:13 +0800
  build float prec:   double
  build with tf inc:  /sharedext4/local/tensorflow/r1.8.gpu.cc/include
  build with tf lib:  /sharedext4/local/tensorflow/r1.8.gpu.cc/lib/libtensorflow_cc.so;/sharedext4/local/tensorflow/r1.8.gpu.cc/lib/libtensorflow_framework.so
  >>> Info of model(s):
  using   4 model(s): ../graph.002.pb ../graph.003.pb ../graph.000.pb ../graph.001.pb 
  rcut in model:      5
  ntypes in model:    2
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair deepmd, perpetual
      attributes: , newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.002
Per MPI rank memory allocation (min/avg/max) = 3.949 | 3.949 | 3.949 Mbytes
Step Temp PotEng KinEng TotEng Press Volume Lx Ly Lz Xy Xz Yz 
       0          100   -23.981518  0.051704058   -23.929814     914.1441    973.93833    10.175657    9.7519751    9.8146858    0.2056172   -0.2239152   -0.0319129 
      10    80.990154    -23.96502  0.041875196   -23.923145    724.00102    975.93349    10.182601    9.7586297    9.8213832   0.20575751    -0.224068 -0.031934677 
      20     77.93722   -23.959155  0.040296705   -23.918859    355.70618     977.6399    10.188532     9.764314     9.827104   0.20587736  -0.22419851 -0.031953278 
      30    81.991807   -23.962979  0.042393091   -23.920586   -166.54084    979.03661    10.193382    9.7689617    9.8317817   0.20597536  -0.22430523 -0.031968488 
      40    102.17962   -23.973686  0.052831009   -23.920855   -778.23926    980.08864    10.197032    9.7724596     9.835302   0.20604911  -0.22438554 -0.031979935 
      50    102.53642   -23.967298  0.053015488   -23.914283   -1344.2184    980.74286      10.1993    9.7746335    9.8374899   0.20609495  -0.22443546 -0.031987049 
      60     84.13362   -23.944112  0.043500496   -23.900612   -1692.0172    980.91429    10.199894     9.775203    9.8380631   0.20610695  -0.22444854 -0.031988912 
      70    71.028642   -23.923029   0.03672469   -23.886304   -1756.8373    980.54051    10.198599    9.7739612    9.8368133   0.20608077  -0.22442002 -0.031984849 
      80    84.541321   -23.918251  0.043711294   -23.874539   -1533.3073    979.58619    10.195289    9.7707893     9.833621   0.20601389  -0.22434719 -0.031974469 
      90    136.65236   -23.935864  0.070654815   -23.865209    -993.4411    978.03003    10.189887    9.7656127     9.828411   0.20590474  -0.22422833 -0.031957528 
     100     200.9875   -23.963179   0.10391869    -23.85926   -216.94788     975.8959     10.18247    9.7585044    9.8212571   0.20575487  -0.22406512 -0.031934267 
     110    254.85753   -23.985595   0.13177168   -23.853824    750.44369    973.22793    10.173183    9.7496035    9.8122989   0.20556719  -0.22386074 -0.031905139 
     120    212.25783   -23.944141   0.10974591   -23.834396    1867.5103    970.10694    10.162296    9.7391705    9.8017989   0.20534722  -0.22362119 -0.031870998 
     130    154.02181    -23.88433  0.079635528   -23.804694    2589.4563    966.78004    10.150666    9.7280245    9.7905812   0.20511221  -0.22336527 -0.031834523 
