2019-06-24 13:55:36.763377: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX512F
2019-06-24 13:55:38.786592: E tensorflow/stream_executor/cuda/cuda_driver.cc:406] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-06-24 13:55:38.786659: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:158] retrieving CUDA diagnostic information for host: SR760-GPU-7
2019-06-24 13:55:38.786676: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:165] hostname: SR760-GPU-7
2019-06-24 13:55:38.786747: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] libcuda reported version is: 410.48.0
2019-06-24 13:55:38.786816: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:193] kernel reported version is: 410.48.0
2019-06-24 13:55:38.786829: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:300] kernel version seems to match DSO: 410.48.0
>>> Info of lammps module:
  use deepmd-kit at:  /sharedext4/local/deepmd-kit-0.12.4
  source:             v0.12.4-1-ge3cd911-dirty
  source branch:      master
  source commit:      e3cd911
  source commit at:   2019-02-07 10:22:13 +0800
  build float prec:   double
  build with tf inc:  /sharedext4/local/tensorflow/r1.8.gpu.cc/include
  build with tf lib:  /sharedext4/local/tensorflow/r1.8.gpu.cc/lib/libtensorflow_cc.so;/sharedext4/local/tensorflow/r1.8.gpu.cc/lib/libtensorflow_framework.so
  >>> Info of model(s):
  using   4 model(s): ../graph.002.pb ../graph.003.pb ../graph.000.pb ../graph.001.pb 
  rcut in model:      5
  ntypes in model:    2
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair deepmd, perpetual
      attributes: , newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.002
Per MPI rank memory allocation (min/avg/max) = 3.949 | 3.949 | 3.949 Mbytes
Step Temp PotEng KinEng TotEng Press Volume Lx Ly Lz Xy Xz Yz 
       0          100   -23.991321  0.051704058   -23.939617   -747.19998    1031.1517     10.29408    10.093351    9.9242946   -0.0764342    -0.195714   -0.2710524 
      10    50.169201   -23.964012  0.025939513   -23.938073   -427.39174    1027.9497    10.283413    10.082893    9.9140112    -0.076355   -0.1955112  -0.27077154 
      20     95.88282   -23.985864  0.049575309   -23.936288    26.748882    1024.5401    10.272031    10.071733    9.9030381 -0.076270488  -0.19529481  -0.27047184 
      30    42.019608   -23.950043  0.021725842   -23.928317    497.96889    1020.9635    10.260064    10.059999    9.8915008 -0.076181631  -0.19506728  -0.27015673 
      40    76.253964    -23.96219  0.039426394   -23.922763    790.46586    1017.3067      10.2478    10.047974    9.8796773  -0.07609057  -0.19483412  -0.26983381 
      50    39.742096   -23.934072  0.020548277   -23.913524    929.71163    1013.5921    10.235312    10.035729    9.8676376 -0.075997843  -0.19459668  -0.26950498 
      60    88.717426   -23.956649  0.045870509   -23.910778    802.71014    1009.8545    10.222715    10.023379    9.8554938 -0.075904315   -0.1943572  -0.26917331 
      70    111.90043   -23.963708  0.057857064   -23.905851    342.69712    1006.0919    10.210004    10.010915    9.8432386 -0.075809929  -0.19411552   -0.2688386 
      80    131.89716   -23.963278  0.068196182   -23.895082   -215.09965    1002.2164    10.196877     9.998044    9.8305835 -0.075712463  -0.19386595  -0.26849296 
      90    159.05974   -23.964098  0.082240342   -23.881857   -824.86573    998.18774    10.183196    9.9846293    9.8173935 -0.075610877  -0.19360584  -0.26813272 
     100    120.38344   -23.927138  0.062243126   -23.864894      -1278.7    993.90417    10.168608    9.9703263    9.8033301 -0.075502565   -0.1933285  -0.26774862 
     110    165.18477   -23.940871  0.085407231   -23.855463   -1261.5695      989.206    10.152561    9.9545917     9.787859  -0.07538341  -0.19302339  -0.26732607 
     120    111.85281    -23.90988  0.057832444   -23.852048   -916.95429    984.13862    10.135195    9.9375645     9.771117 -0.075254468  -0.19269323  -0.26686881 
     130    180.41719   -23.946616  0.093283006   -23.853333   -353.18554    978.76107    10.116701    9.9194311    9.7532874 -0.075117149  -0.19234162  -0.26638185 
     140    108.04915   -23.909456  0.055865794    -23.85359    486.06205    973.10777    10.097185    9.9002961    9.7344728 -0.074972245  -0.19197058  -0.26586799 
     150      165.224   -23.944479  0.085427514   -23.859051     1038.514    967.35836     10.07726    9.8807596    9.7152636   -0.0748243  -0.19159176  -0.26534334 
     160    106.24074   -23.918416  0.054930773   -23.863485     1306.559     961.5354       10.057    9.8608941    9.6957308 -0.074673864  -0.19120656  -0.26480986 
     170    154.17805   -23.954514  0.079716308   -23.874797    1353.3305    955.63587    10.036389    9.8406855    9.6758606  -0.07452083  -0.19081471  -0.26426717 
     180    126.08068   -23.948304  0.065188826   -23.883115     859.0543     949.7145    10.015617    9.8203182    9.6558345 -0.074366594  -0.19041978  -0.26372022 
     190    138.66875   -23.959561  0.071697369   -23.887864    129.90946    943.61435    9.9941267    9.7992472    9.6351165 -0.074207029  -0.19001121  -0.26315437 
     200    127.99661   -23.957904  0.066179442   -23.891725   -385.84496    937.13315    9.9711927    9.7767604    9.6130062 -0.074036742  -0.18957518  -0.26255049 
     210    93.396154   -23.939829  0.048289602   -23.891539   -927.16784    930.30329    9.9469101    9.7529513     9.589596 -0.073856443  -0.18911351  -0.26191111 
     220    99.233931     -23.9449  0.051307969   -23.893592   -1260.7155    923.00639    9.9208354     9.727385    9.5644579 -0.073662836  -0.18861777  -0.26122454 
     230    63.754026   -23.930932  0.032963419   -23.897969   -1117.0381    915.14188     9.892578    9.6996787    9.5372156 -0.073453024  -0.18808053   -0.2604805 
     240    111.60968   -23.962717  0.057706733    -23.90501   -776.45011    906.73171    9.8621804    9.6698738    9.5079099 -0.073227319   -0.1875026   -0.2596801 
     250    75.343667   -23.948981  0.038955733   -23.910025   -334.14935    897.81299    9.8297386    9.6380645    9.4766335 -0.072986437  -0.18688581  -0.25882588 
     260    133.53947   -23.985419  0.069045327   -23.916374    354.57441    888.33209    9.7950154    9.6040185    9.4431576 -0.072728615  -0.18622564  -0.25791158 
     270    68.438732   -23.950542  0.035385601   -23.915156    902.68414    878.40878    9.7584063    9.5681232    9.4078636  -0.07245679  -0.18552962  -0.25694763 
     280    117.02213   -23.978351  0.060505192   -23.917846    1073.8885    868.02243    9.7197924    9.5302623    9.3706368 -0.072170079  -0.18479548   -0.2559309 
