# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    7.52e+01  7.33e+01    7.79e+00  7.80e+00    2.38e+00  2.32e+00    1.0e-03
   1000    4.40e+00  3.79e+00    5.53e-02  5.56e-02    1.80e-01  1.55e-01    6.0e-04
   2000    3.48e+00  3.17e+00    5.19e-02  5.15e-02    1.83e-01  1.67e-01    3.6e-04
   3000    2.46e+00  2.19e+00    7.47e-03  7.20e-03    1.67e-01  1.49e-01    2.1e-04
   4000    2.09e+00  1.60e+00    1.62e-02  1.61e-02    1.84e-01  1.41e-01    1.3e-04
   5000    1.43e+00  1.52e+00    1.94e-02  2.07e-02    1.62e-01  1.72e-01    7.7e-05
   6000    1.27e+00  1.15e+00    1.42e-02  1.42e-02    1.84e-01  1.68e-01    4.6e-05
   7000    9.89e-01  8.47e-01    2.69e-03  3.03e-03    1.85e-01  1.59e-01    2.8e-05
   8000    3.08e-01  4.38e-01    6.57e-03  6.09e-03    7.34e-02  1.05e-01    1.7e-05
   9000    5.24e-01  5.61e-01    3.52e-03  5.74e-03    1.59e-01  1.70e-01    9.9e-06
  10000    4.83e-01  4.67e-01    2.06e-03  2.03e-03    1.84e-01  1.77e-01    5.9e-06
  11000    4.08e-01  3.79e-01    5.75e-03  4.43e-03    1.91e-01  1.78e-01    3.5e-06
  12000    3.25e-01  3.21e-01    9.84e-04  5.56e-03    1.84e-01  1.81e-01    2.1e-06
  13000    2.77e-01  2.21e-01    1.07e-03  9.72e-04    1.84e-01  1.47e-01    1.3e-06
  14000    2.43e-01  1.77e-01    8.22e-04  9.62e-04    1.84e-01  1.33e-01    7.6e-07
  15000    2.21e-01  1.76e-01    9.29e-04  1.16e-03    1.83e-01  1.46e-01    4.6e-07
  16000    1.79e-01  1.60e-01    3.05e-03  2.98e-03    1.58e-01  1.42e-01    2.7e-07
  17000    1.98e-01  1.50e-01    1.15e-03  1.46e-03    1.83e-01  1.39e-01    1.6e-07
  18000    2.73e-01  2.64e-01    8.75e-03  8.60e-03    2.59e-01  2.51e-01    9.8e-08
  19000    1.63e-01  1.61e-01    3.03e-03  4.41e-03    1.58e-01  1.56e-01    5.9e-08
  20000    1.87e-01  1.48e-01    9.89e-04  1.26e-03    1.83e-01  1.46e-01    3.5e-08
