2019-06-24 12:56:19.575850: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX512F
2019-06-24 12:56:21.658002: E tensorflow/stream_executor/cuda/cuda_driver.cc:406] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-06-24 12:56:21.658133: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:158] retrieving CUDA diagnostic information for host: SR760-GPU-7
2019-06-24 12:56:21.658161: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:165] hostname: SR760-GPU-7
2019-06-24 12:56:21.658274: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] libcuda reported version is: 410.48.0
2019-06-24 12:56:21.658390: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:193] kernel reported version is: 410.48.0
2019-06-24 12:56:21.658411: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:300] kernel version seems to match DSO: 410.48.0
Info of lammps module:
  use deepmd-kit at:  /sharedext4/local/deepmd-kit-0.12.4
  source:             v0.12.4-1-ge3cd911-dirty
  source branch:      master
  source commit:      e3cd911
  source commit at:   2019-02-07 10:22:13 +0800
  build float prec:   double
  build with tf inc:  /sharedext4/local/tensorflow/r1.8.gpu.cc/include
  build with tf lib:  /sharedext4/local/tensorflow/r1.8.gpu.cc/lib/libtensorflow_cc.so;/sharedext4/local/tensorflow/r1.8.gpu.cc/lib/libtensorflow_framework.so
  >>> Info of model(s):
  using   4 model(s): ../graph.002.pb ../graph.003.pb ../graph.000.pb ../graph.001.pb 
  rcut in model:      5
  ntypes in model:    2
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair deepmd, perpetual
      attributes: , newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.002
Per MPI rank memory allocation (min/avg/max) = 3.949 | 3.949 | 3.949 Mbytes
Step Temp PotEng KinEng TotEng Press Volume Lx Ly Lz Xy Xz Yz 
       0          100   -23.993506  0.051704058   -23.941802    351.43467    994.61186    10.076055    10.126964    9.7472897   -0.2818679   -0.2552531   -0.1066412 
      10    34.053278   -23.951884  0.017606926   -23.934277    963.57431    988.18392    10.054301      10.1051    9.7262462  -0.28125937  -0.25470203  -0.10641097 
      20    63.120089   -23.962038  0.032635647   -23.929403    1268.3527    981.77893    10.032532    10.083221    9.7051868  -0.28065039  -0.25415055  -0.10618057 
      30    49.170799   -23.953911  0.025423299   -23.928487    1292.9283    975.37887    10.010684    10.061263    9.6840519  -0.28003922  -0.25359709  -0.10594934 
      40    95.628695   -23.981112  0.049443916   -23.931668    984.49549     969.0057    9.9888328    10.039301    9.6629138  -0.27942795  -0.25304354  -0.10571808 
      50    115.79726   -23.988783  0.059871882   -23.928911    338.30906     962.6451    9.9669291    10.017287    9.6417248  -0.27881522  -0.25248866  -0.10548626 
      60    82.900491   -23.956741  0.042862918   -23.913878   -328.76975    956.16912    9.9445287    9.9947732    9.6200553  -0.27818859   -0.2519212  -0.10524918 
      70    96.294119   -23.947345  0.049787967   -23.897557   -953.79763    949.51426    9.9214039    9.9715316     9.597685   -0.2775417  -0.25133539  -0.10500443 
      80    63.871378   -23.912857  0.033024094   -23.879833   -1443.8762    942.60389    9.8972767    9.9472824     9.574345  -0.27686676  -0.25072418  -0.10474908 
      90    135.55338   -23.940966  0.070086599    -23.87088   -1539.8799    935.36993    9.8718929    9.9217704    9.5497895  -0.27615667  -0.25008114  -0.10448043 
     100     116.9679   -23.929751  0.060477153   -23.869274   -1231.2397    927.77526    9.8451022    9.8948444    9.5238729  -0.27540723  -0.24940247  -0.10419689 
     110    192.59066   -23.969001  0.099577187   -23.869424   -494.63912    919.88476    9.8171127    9.8667134    9.4967966  -0.27462425  -0.24869342  -0.10390066 
     120    104.47433   -23.905492  0.054017466   -23.851474    443.02375    911.78353    9.7882086    9.8376632    9.4688356  -0.27381569   -0.2479612  -0.10359475 
     130    164.94389   -23.941445  0.085282686   -23.856162    879.73493    903.73485    9.7593219    9.8086306    9.4408915  -0.27300761  -0.24722942  -0.10328902 
     140    182.16511   -23.966873  0.094186753   -23.872686    840.94709    895.72695    9.7304109    9.7795736    9.4129238  -0.27219885  -0.24649703  -0.10298304 
     150    137.04836    -23.93891  0.070859564   -23.868051    635.21183    887.66735    9.7011387    9.7501535    9.3846067  -0.27137999  -0.24575549  -0.10267323 
     160    108.76036     -23.9216  0.056233522   -23.865366    388.05727    879.44724    9.6711005    9.7199635    9.3555486   -0.2705397  -0.24499454  -0.10235532 
     170    67.674149   -23.906314  0.034990281   -23.871324    61.222527    870.98845     9.639994    9.6886999    9.3254571  -0.26966953  -0.24420653   -0.1020261 
     180    170.52072   -23.974666  0.088166133     -23.8865   -166.01387    862.23528    9.6075922    9.6561343    9.2941125  -0.26876312  -0.24338571  -0.10168317 
     190    121.79055   -23.956958  0.062970657   -23.893987   -294.67908    853.17885    9.5738362    9.6222078    9.2614579  -0.26781883  -0.24253058  -0.10132591 
     200    143.74165    -23.97267  0.074320267   -23.898349   -235.40688    843.80162    9.5386318    9.5868255    9.2274021  -0.26683402  -0.24163876  -0.10095332 
     210     50.68386   -23.917727  0.026205612   -23.891521    73.217618    834.02694    9.5016565    9.5496634    9.1916333  -0.26579967  -0.24070208  -0.10056199 
     220    80.554554   -23.935144  0.041649973   -23.893494    115.36715     823.9443    9.4632123     9.511025    9.1544435  -0.26472423  -0.23972819  -0.10015511 
     230    99.048337   -23.954825  0.051212009   -23.903613     144.8267     813.4758    9.4229636    9.4705729     9.115508  -0.26359831  -0.23870858 -0.099729129 
     240    111.58319   -23.973658  0.057693039   -23.915965    138.45987    802.61921    9.3808563    9.4282528    9.0747746   -0.2624204  -0.23764189 -0.099283481 
     250     118.9533   -23.979139  0.061503681   -23.917636    11.677161    791.35299    9.3367569    9.3839306     9.032114  -0.26118676  -0.23652473 -0.098816749 
     260    50.740962   -23.935117  0.026235136   -23.908882    47.995135    779.56063    9.2901473    9.3370855    8.9870252   -0.2598829  -0.23534399  -0.09832345 
     270    86.600117   -23.954149  0.044775775   -23.909373   -78.068846    767.25767    9.2410158    9.2877058    8.9394969   -0.2585085  -0.23409936 -0.097803461 
     280    55.413654   -23.942037  0.028651108   -23.913386   -304.95865    754.38119    9.1890282    9.2354555    8.8892055  -0.25705419  -0.23278238 -0.097253244 
     290    117.63581   -23.983818  0.060822488   -23.922996   -497.95259    740.86742    9.1338274    9.1799758    8.8358058     -0.25551  -0.23138399 -0.096669019 
     300    83.222338   -23.965727  0.043029326   -23.922698   -621.12227    726.65959    9.0750628    9.1209143    8.7789586  -0.25386612  -0.22989533 -0.096047076 
     310     105.1245   -23.974919  0.054353633   -23.920565    -504.4689    711.66487    9.0122067    9.0577406    8.7181534  -0.25210778  -0.22830302 -0.095381831 
     320    72.979017   -23.952658  0.037733113   -23.914925   -65.882871    695.82136    8.9448258    8.9900193     8.652971  -0.25022287  -0.22659608 -0.094668696 
     330     57.31783   -23.938588  0.029635644   -23.908953     358.8956    679.13028    8.8727246    8.9175538    8.5832223   -0.2482059  -0.22476957 -0.093905604 
     340    88.969023   -23.953844  0.046000595   -23.907843    770.88806    661.56775    8.7955718    8.8400112    8.5085869  -0.24604763  -0.22281508 -0.093089048 
     350    79.451323   -23.949163  0.041079558   -23.908083    1139.7109    643.09987    8.7129544    8.7569764    8.4286652  -0.24373649  -0.22072217 -0.092214656 
     360    152.91967   -23.987991  0.079065677   -23.908925    1251.7887    623.74136    8.6246368    8.6682125    8.3432292  -0.24126589  -0.21848485 -0.091279936 
     370    99.674169   -23.941212   0.05153559   -23.889677    1268.4481    603.45243    8.5300907    8.5731887     8.251768  -0.23862105  -0.21608975 -0.090279295 
     380    145.10872   -23.952792  0.075027094   -23.877765    678.52171    582.30943    8.4292818    8.4718706    8.1542484  -0.23580102  -0.21353599 -0.089212372 
