# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    1.14e+02  1.11e+02    8.48e+00  8.50e+00    3.60e+00  3.52e+00    1.0e-03
   1000    4.36e+00  4.12e+00    4.29e-02  4.22e-02    1.78e-01  1.68e-01    6.0e-04
   2000    3.45e+00  2.72e+00    6.07e-02  6.07e-02    1.82e-01  1.43e-01    3.6e-04
   3000    2.04e+00  1.98e+00    6.34e-02  6.15e-02    1.38e-01  1.34e-01    2.1e-04
   4000    2.06e+00  1.26e+00    1.29e-02  1.27e-02    1.81e-01  1.11e-01    1.3e-04
   5000    1.58e+00  1.18e+00    2.58e-02  2.60e-02    1.78e-01  1.33e-01    7.7e-05
   6000    7.49e-01  6.41e-01    3.39e-03  1.57e-03    1.09e-01  9.35e-02    4.6e-05
   7000    9.44e-01  5.84e-01    1.28e-02  1.32e-02    1.77e-01  1.09e-01    2.8e-05
   8000    7.39e-01  5.51e-01    2.42e-03  2.66e-03    1.77e-01  1.32e-01    1.7e-05
   9000    3.46e-01  3.62e-01    3.95e-03  1.95e-03    1.05e-01  1.10e-01    9.9e-06
  10000    2.43e-01  2.21e-01    1.45e-03  1.77e-03    9.23e-02  8.39e-02    5.9e-06
  11000    3.77e-01  2.90e-01    9.31e-04  9.51e-04    1.77e-01  1.36e-01    3.5e-06
  12000    1.63e-01  1.48e-01    1.89e-03  1.85e-03    9.22e-02  8.38e-02    2.1e-06
  13000    2.67e-01  2.16e-01    9.13e-04  6.93e-04    1.77e-01  1.44e-01    1.3e-06
  14000    1.22e-01  1.11e-01    1.80e-03  1.78e-03    9.21e-02  8.37e-02    7.6e-07
  15000    1.24e-01  1.18e-01    3.26e-03  2.62e-03    1.03e-01  9.73e-02    4.6e-07
  16000    2.00e-01  1.62e-01    9.53e-04  7.73e-04    1.77e-01  1.43e-01    2.7e-07
  17000    1.91e-01  1.54e-01    9.27e-04  7.46e-04    1.77e-01  1.43e-01    1.6e-07
  18000    1.86e-01  1.07e-01    9.29e-04  8.56e-04    1.77e-01  1.02e-01    9.8e-08
  19000    1.83e-01  1.05e-01    9.12e-04  8.63e-04    1.77e-01  1.02e-01    5.9e-08
  20000    1.80e-01  1.48e-01    9.19e-04  6.47e-04    1.77e-01  1.45e-01    3.5e-08
